segment,country,product,discount_band,units_sold,sale_price,sales,date,month_name,year
Government,Mexico, Montana , High ,2420.0, $7.00 ," $14,907.20 ",01/09/2014, September ,2014
Government,Canada, Montana , High ,2734.0, $7.00 ," $16,841.44 ",01/10/2014, October ,2014
Government,Mexico, Montana , High ,1715.0, $20.00 ," $30,184.00 ",01/10/2013, October ,2013
Small Business,France, Montana , High ,1186.0, $300.00 ," $313,104.00 ",01/12/2013, December ,2013
Small Business,United States of America, Paseo , High ,3495.0, $300.00 ," $922,680.00 ",01/01/2014, January ,2014
Government,Mexico, Paseo , High ,886.0, $350.00 ," $272,888.00 ",01/06/2014, June ,2014
Enterprise,Mexico, Paseo , High ,2156.0, $125.00 ," $237,160.00 ",01/10/2014, October ,2014
Government,Mexico, Paseo , High ,905.0, $20.00 ," $15,928.00 ",01/10/2014, October ,2014
Government,Mexico, Paseo , High ,1715.0, $20.00 ," $30,184.00 ",01/10/2013, October ,2013
Government,France, Paseo , High ,1594.0, $350.00 ," $490,952.00 ",01/11/2014, November ,2014
Small Business,Germany, Paseo , High ,1359.0, $300.00 ," $358,776.00 ",01/11/2014, November ,2014
Small Business,Mexico, Paseo , High ,2150.0, $300.00 ," $567,600.00 ",01/11/2014, November ,2014
Government,Mexico, Paseo , High ,1197.0, $350.00 ," $368,676.00 ",01/11/2014, November ,2014
Midmarket,Mexico, Paseo , High ,380.0, $15.00 ," $5,016.00 ",01/12/2013, December ,2013
Government,Mexico, Paseo , High ,1233.0, $20.00 ," $21,700.80 ",01/12/2014, December ,2014
Government,Mexico, Velo , High ,1395.0, $350.00 ," $429,660.00 ",01/07/2014, July ,2014
Government,United States of America, Velo , High ,986.0, $350.00 ," $303,688.00 ",01/10/2014, October ,2014
Government,Mexico, Velo , High ,905.0, $20.00 ," $15,928.00 ",01/10/2014, October ,2014
Channel Partners,Canada, VTT , High ,2109.0, $12.00 ," $22,271.04 ",01/05/2014, May ,2014
Midmarket,France, VTT , High ,3874.5, $15.00 ," $51,143.40 ",01/07/2014, July ,2014
Government,Canada, VTT , High ,623.0, $350.00 ," $191,884.00 ",01/09/2013, September ,2013
Government,United States of America, VTT , High ,986.0, $350.00 ," $303,688.00 ",01/10/2014, October ,2014
Enterprise,United States of America, VTT , High ,2387.0, $125.00 ," $262,570.00 ",01/11/2014, November ,2014
Government,Mexico, VTT , High ,1233.0, $20.00 ," $21,700.80 ",01/12/2014, December ,2014
Government,United States of America, Amarilla , High ,270.0, $350.00 ," $83,160.00 ",01/02/2014, February ,2014
Government,France, Amarilla , High ,3421.5, $7.00 ," $21,076.44 ",01/07/2014, July ,2014
Government,Canada, Amarilla , High ,2734.0, $7.00 ," $16,841.44 ",01/10/2014, October ,2014
Midmarket,United States of America, Amarilla , High ,2548.0, $15.00 ," $33,633.60 ",01/11/2013, November ,2013
Government,France, Carretera , High ,2521.5, $20.00 ," $44,378.40 ",01/01/2014, January ,2014
Channel Partners,Mexico, Montana , High ,2661.0, $12.00 ," $28,100.16 ",01/05/2014, May ,2014
Government,Germany, Paseo , High ,1531.0, $20.00 ," $26,945.60 ",01/12/2014, December ,2014
Government,France, VTT , High ,1491.0, $7.00 ," $9,184.56 ",01/03/2014, March ,2014
Government,Germany, VTT , High ,1531.0, $20.00 ," $26,945.60 ",01/12/2014, December ,2014
Channel Partners,Canada, Amarilla , High ,2761.0, $12.00 ," $29,156.16 ",01/09/2013, September ,2013
Midmarket,United States of America, Carretera , High ,2567.0, $15.00 ," $33,499.35 ",01/06/2014, June ,2014
Midmarket,United States of America, VTT , High ,2567.0, $15.00 ," $33,499.35 ",01/06/2014, June ,2014
Government,Canada, Carretera , High ,923.0, $350.00 ," $281,053.50 ",01/03/2014, March ,2014
Government,France, Carretera , High ,1790.0, $350.00 ," $545,055.00 ",01/03/2014, March ,2014
Government,Germany, Carretera , High ,442.0, $20.00 ," $7,690.80 ",01/09/2013, September ,2013
Government,United States of America, Montana , High ,982.5, $350.00 ," $299,171.25 ",01/01/2014, January ,2014
Government,United States of America, Montana , High ,1298.0, $7.00 ," $7,904.82 ",01/02/2014, February ,2014
Channel Partners,Mexico, Montana , High ,604.0, $12.00 ," $6,305.76 ",01/06/2014, June ,2014
Government,Mexico, Montana , High ,2255.0, $20.00 ," $39,237.00 ",01/07/2014, July ,2014
Government,Canada, Montana , High ,1249.0, $20.00 ," $21,732.60 ",01/10/2014, October ,2014
Government,United States of America, Paseo , High ,1438.5, $7.00 ," $8,760.47 ",01/01/2014, January ,2014
Small Business,Germany, Paseo , High ,807.0, $300.00 ," $210,627.00 ",01/01/2014, January ,2014
Government,United States of America, Paseo , High ,2641.0, $20.00 ," $45,953.40 ",01/02/2014, February ,2014
Government,Germany, Paseo , High ,2708.0, $20.00 ," $47,119.20 ",01/02/2014, February ,2014
Government,Canada, Paseo , High ,2632.0, $350.00 ," $801,444.00 ",01/06/2014, June ,2014
Enterprise,Canada, Paseo , High ,1583.0, $125.00 ," $172,151.25 ",01/06/2014, June ,2014
Channel Partners,Mexico, Paseo , High ,571.0, $12.00 ," $5,961.24 ",01/07/2014, July ,2014
Government,France, Paseo , High ,2696.0, $7.00 ," $16,418.64 ",01/08/2014, August ,2014
Midmarket,Canada, Paseo , High ,1565.0, $15.00 ," $20,423.25 ",01/10/2014, October ,2014
Government,Canada, Paseo , High ,1249.0, $20.00 ," $21,732.60 ",01/10/2014, October ,2014
Government,Germany, Paseo , High ,357.0, $350.00 ," $108,706.50 ",01/11/2014, November ,2014
Channel Partners,Germany, Paseo , High ,1013.0, $12.00 ," $10,575.72 ",01/12/2014, December ,2014
Midmarket,France, Velo , High ,3997.5, $15.00 ," $52,167.38 ",01/01/2014, January ,2014
Government,Canada, Velo , High ,2632.0, $350.00 ," $801,444.00 ",01/06/2014, June ,2014
Government,France, Velo , High ,1190.0, $7.00 ," $7,247.10 ",01/06/2014, June ,2014
Channel Partners,Mexico, Velo , High ,604.0, $12.00 ," $6,305.76 ",01/06/2014, June ,2014
Midmarket,Germany, Velo , High ,660.0, $15.00 ," $8,613.00 ",01/09/2013, September ,2013
Channel Partners,Mexico, Velo , High ,410.0, $12.00 ," $4,280.40 ",01/10/2014, October ,2014
Small Business,Mexico, Velo , High ,2605.0, $300.00 ," $679,905.00 ",01/11/2013, November ,2013
Channel Partners,Germany, Velo , High ,1013.0, $12.00 ," $10,575.72 ",01/12/2014, December ,2014
Enterprise,Canada, VTT , High ,1583.0, $125.00 ," $172,151.25 ",01/06/2014, June ,2014
Midmarket,Canada, VTT , High ,1565.0, $15.00 ," $20,423.25 ",01/10/2014, October ,2014
Enterprise,Canada, Amarilla , High ,1659.0, $125.00 ," $180,416.25 ",01/01/2014, January ,2014
Government,France, Amarilla , High ,1190.0, $7.00 ," $7,247.10 ",01/06/2014, June ,2014
Channel Partners,Mexico, Amarilla , High ,410.0, $12.00 ," $4,280.40 ",01/10/2014, October ,2014
Channel Partners,Germany, Amarilla , High ,1770.0, $12.00 ," $18,478.80 ",01/12/2013, December ,2013
Government,Mexico, Carretera , High ,2579.0, $20.00 ," $44,358.80 ",01/04/2014, April ,2014
Government,United States of America, Carretera , High ,1743.0, $20.00 ," $29,979.60 ",01/05/2014, May ,2014
Government,United States of America, Carretera , High ,2996.0, $7.00 ," $18,035.92 ",01/10/2013, October ,2013
Government,Germany, Carretera , High ,280.0, $7.00 ," $1,685.60 ",01/12/2014, December ,2014
Government,France, Montana , High ,293.0, $7.00 ," $1,763.86 ",01/02/2014, February ,2014
Government,United States of America, Montana , High ,2996.0, $7.00 ," $18,035.92 ",01/10/2013, October ,2013
Midmarket,Germany, Paseo , High ,278.0, $15.00 ," $3,586.20 ",01/02/2014, February ,2014
Government,Canada, Paseo , High ,2428.0, $20.00 ," $41,761.60 ",01/03/2014, March ,2014
Midmarket,United States of America, Paseo , High ,1767.0, $15.00 ," $22,794.30 ",01/09/2014, September ,2014
Channel Partners,France, Paseo , High ,1393.0, $12.00 ," $14,375.76 ",01/10/2014, October ,2014
Government,Germany, VTT , High ,280.0, $7.00 ," $1,685.60 ",01/12/2014, December ,2014
Channel Partners,France, Amarilla , High ,1393.0, $12.00 ," $14,375.76 ",01/10/2014, October ,2014
Channel Partners,United States of America, Amarilla , High ,2015.0, $12.00 ," $20,794.80 ",01/12/2013, December ,2013
Small Business,Mexico, Carretera , High ,801.0, $300.00 ," $206,658.00 ",01/07/2014, July ,2014
Enterprise,France, Carretera , High ,1023.0, $125.00 ," $109,972.50 ",01/09/2013, September ,2013
Small Business,Canada, Carretera , High ,1496.0, $300.00 ," $385,968.00 ",01/10/2014, October ,2014
Small Business,United States of America, Carretera , High ,1010.0, $300.00 ," $260,580.00 ",01/10/2014, October ,2014
Midmarket,Germany, Carretera , High ,1513.0, $15.00 ," $19,517.70 ",01/11/2014, November ,2014
Midmarket,Canada, Carretera , High ,2300.0, $15.00 ," $29,670.00 ",01/12/2014, December ,2014
Enterprise,Mexico, Carretera , High ,2821.0, $125.00 ," $303,257.50 ",01/12/2013, December ,2013
Government,Canada, Montana , High ,2227.5, $350.00 ," $670,477.50 ",01/01/2014, January ,2014
Government,Germany, Montana , High ,1199.0, $350.00 ," $360,899.00 ",01/04/2014, April ,2014
Government,Canada, Montana , High ,200.0, $350.00 ," $60,200.00 ",01/05/2014, May ,2014
Government,Canada, Montana , High ,388.0, $7.00 ," $2,335.76 ",01/09/2014, September ,2014
Government,Mexico, Montana , High ,1727.0, $7.00 ," $10,396.54 ",01/10/2013, October ,2013
Midmarket,Canada, Montana , High ,2300.0, $15.00 ," $29,670.00 ",01/12/2014, December ,2014
Government,Mexico, Paseo , High ,260.0, $20.00 ," $4,472.00 ",01/02/2014, February ,2014
Midmarket,Canada, Paseo , High ,2470.0, $15.00 ," $31,863.00 ",01/09/2013, September ,2013
Midmarket,Canada, Paseo , High ,1743.0, $15.00 ," $22,484.70 ",01/10/2013, October ,2013
Channel Partners,United States of America, Paseo , High ,2914.0, $12.00 ," $30,072.48 ",01/10/2014, October ,2014
Government,France, Paseo , High ,1731.0, $7.00 ," $10,420.62 ",01/10/2014, October ,2014
Government,Canada, Paseo , High ,700.0, $350.00 ," $210,700.00 ",01/11/2014, November ,2014
Channel Partners,Canada, Paseo , High ,2222.0, $12.00 ," $22,931.04 ",01/11/2013, November ,2013
Government,United States of America, Paseo , High ,1177.0, $350.00 ," $354,277.00 ",01/11/2014, November ,2014
Government,France, Paseo , High ,1922.0, $350.00 ," $578,522.00 ",01/11/2013, November ,2013
Enterprise,Mexico, Velo , High ,1575.0, $125.00 ," $169,312.50 ",01/02/2014, February ,2014
Government,United States of America, Velo , High ,606.0, $20.00 ," $10,423.20 ",01/04/2014, April ,2014
Small Business,United States of America, Velo , High ,2460.0, $300.00 ," $634,680.00 ",01/07/2014, July ,2014
Small Business,Canada, Velo , High ,269.0, $300.00 ," $69,402.00 ",01/10/2013, October ,2013
Small Business,Germany, Velo , High ,2536.0, $300.00 ," $654,288.00 ",01/11/2013, November ,2013
Government,Mexico, VTT , High ,2903.0, $7.00 ," $17,476.06 ",01/03/2014, March ,2014
Small Business,United States of America, VTT , High ,2541.0, $300.00 ," $655,578.00 ",01/08/2014, August ,2014
Small Business,Canada, VTT , High ,269.0, $300.00 ," $69,402.00 ",01/10/2013, October ,2013
Small Business,Canada, VTT , High ,1496.0, $300.00 ," $385,968.00 ",01/10/2014, October ,2014
Small Business,United States of America, VTT , High ,1010.0, $300.00 ," $260,580.00 ",01/10/2014, October ,2014
Government,France, VTT , High ,1281.0, $350.00 ," $385,581.00 ",01/12/2013, December ,2013
Small Business,Canada, Amarilla , High ,888.0, $300.00 ," $229,104.00 ",01/03/2014, March ,2014
Enterprise,United States of America, Amarilla , High ,2844.0, $125.00 ," $305,730.00 ",01/05/2014, May ,2014
Channel Partners,France, Amarilla , High ,2475.0, $12.00 ," $25,542.00 ",01/08/2014, August ,2014
Midmarket,Canada, Amarilla , High ,1743.0, $15.00 ," $22,484.70 ",01/10/2013, October ,2013
Channel Partners,United States of America, Amarilla , High ,2914.0, $12.00 ," $30,072.48 ",01/10/2014, October ,2014
Government,France, Amarilla , High ,1731.0, $7.00 ," $10,420.62 ",01/10/2014, October ,2014
Government,Mexico, Amarilla , High ,1727.0, $7.00 ," $10,396.54 ",01/10/2013, October ,2013
Midmarket,Mexico, Amarilla , High ,1870.0, $15.00 ," $24,123.00 ",01/11/2013, November ,2013
Enterprise,France, Carretera , High ,1174.0, $125.00 ," $124,737.50 ",01/08/2014, August ,2014
Enterprise,Germany, Carretera , High ,2767.0, $125.00 ," $293,993.75 ",01/08/2014, August ,2014
Enterprise,Germany, Carretera , High ,1085.0, $125.00 ," $115,281.25 ",01/10/2014, October ,2014
Small Business,Mexico, Montana , High ,546.0, $300.00 ," $139,230.00 ",01/10/2014, October ,2014
Government,Germany, Paseo , High ,1158.0, $20.00 ," $19,686.00 ",01/03/2014, March ,2014
Midmarket,Canada, Paseo , High ,1614.0, $15.00 ," $20,578.50 ",01/04/2014, April ,2014
Government,Mexico, Paseo , High ,2535.0, $7.00 ," $15,083.25 ",01/04/2014, April ,2014
Government,Mexico, Paseo , High ,2851.0, $350.00 ," $848,172.50 ",01/05/2014, May ,2014
Midmarket,Canada, Paseo , High ,2559.0, $15.00 ," $32,627.25 ",01/08/2014, August ,2014
Government,United States of America, Paseo , High ,267.0, $20.00 ," $4,539.00 ",01/10/2013, October ,2013
Enterprise,Germany, Paseo , High ,1085.0, $125.00 ," $115,281.25 ",01/10/2014, October ,2014
Midmarket,Germany, Paseo , High ,1175.0, $15.00 ," $14,981.25 ",01/10/2014, October ,2014
Government,United States of America, Paseo , High ,2007.0, $350.00 ," $597,082.50 ",01/11/2013, November ,2013
Government,Mexico, Paseo , High ,2151.0, $350.00 ," $639,922.50 ",01/11/2013, November ,2013
Channel Partners,United States of America, Paseo , High ,914.0, $12.00 ," $9,322.80 ",01/12/2014, December ,2014
Government,France, Paseo , High ,293.0, $20.00 ," $4,981.00 ",01/12/2014, December ,2014
Channel Partners,Mexico, Velo , High ,500.0, $12.00 ," $5,100.00 ",01/03/2014, March ,2014
Midmarket,France, Velo , High ,2826.0, $15.00 ," $36,031.50 ",01/05/2014, May ,2014
Enterprise,France, Velo , High ,663.0, $125.00 ," $70,443.75 ",01/09/2014, September ,2014
Small Business,United States of America, Velo , High ,2574.0, $300.00 ," $656,370.00 ",01/11/2013, November ,2013
Enterprise,United States of America, Velo , High ,2438.0, $125.00 ," $259,037.50 ",01/12/2013, December ,2013
Channel Partners,United States of America, Velo , High ,914.0, $12.00 ," $9,322.80 ",01/12/2014, December ,2014
Government,Canada, VTT , High ,865.5, $20.00 ," $14,713.50 ",01/07/2014, July ,2014
Midmarket,Germany, VTT , High ,492.0, $15.00 ," $6,273.00 ",01/07/2014, July ,2014
Government,United States of America, VTT , High ,267.0, $20.00 ," $4,539.00 ",01/10/2013, October ,2013
Midmarket,Germany, VTT , High ,1175.0, $15.00 ," $14,981.25 ",01/10/2014, October ,2014
Enterprise,Canada, VTT , High ,2954.0, $125.00 ," $313,862.50 ",01/11/2013, November ,2013
Enterprise,Germany, VTT , High ,552.0, $125.00 ," $58,650.00 ",01/11/2014, November ,2014
Government,France, VTT , High ,293.0, $20.00 ," $4,981.00 ",01/12/2014, December ,2014
Small Business,France, Amarilla , High ,2475.0, $300.00 ," $631,125.00 ",01/03/2014, March ,2014
Small Business,Mexico, Amarilla , High ,546.0, $300.00 ," $139,230.00 ",01/10/2014, October ,2014
Government,Mexico, Montana , High ,1368.0, $7.00 ," $8,139.60 ",01/02/2014, February ,2014
Government,Canada, Paseo , High ,723.0, $7.00 ," $4,301.85 ",01/04/2014, April ,2014
Channel Partners,United States of America, VTT , High ,1806.0, $12.00 ," $18,421.20 ",01/05/2014, May ,2014
